KRA submission ID,Experiment ID,Experiment Access type,Run ID,Library Layout,file path,KBQC 여부,검증파일명 목록
KRA2462478,KAE24063511,Public,KAR24063511,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567251/139_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567251/139_2.fq.gz,완료,"139_1.fq.gz,139_2.fq.gz"
KRA2462478,KAE24063510,Public,KAR24063510,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567250/135_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567250/135_2.fq.gz,완료,"135_1.fq.gz,135_2.fq.gz"
KRA2462478,KAE24063509,Public,KAR24063509,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567249/134_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567249/134_2.fq.gz,완료,"134_1.fq.gz,134_2.fq.gz"
KRA2462478,KAE24063508,Public,KAR24063508,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567248/85_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567248/85_2.fq.gz,완료,"85_1.fq.gz,85_2.fq.gz"
KRA2462478,KAE24063507,Public,KAR24063507,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567247/133_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567247/133_2.fq.gz,완료,"133_1.fq.gz,133_2.fq.gz"
KRA2462478,KAE24063506,Public,KAR24063506,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567246/84_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567246/84_2.fq.gz,완료,"84_1.fq.gz,84_2.fq.gz"
KRA2462478,KAE24063505,Public,KAR24063505,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567245/83_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567245/83_2.fq.gz,완료,"83_1.fq.gz,83_2.fq.gz"
KRA2462478,KAE24063504,Public,KAR24063504,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567244/81_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567244/81_2.fq.gz,완료,"81_1.fq.gz,81_2.fq.gz"
KRA2462478,KAE24063503,Public,KAR24063503,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567243/80_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567243/80_2.fq.gz,완료,"80_1.fq.gz,80_2.fq.gz"
KRA2462478,KAE24063502,Public,KAR24063502,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567242/79_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567242/79_2.fq.gz,완료,"79_1.fq.gz,79_2.fq.gz"
KRA2462478,KAE24063501,Public,KAR24063501,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567241/528_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567241/528_2.fq.gz,완료,"528_1.fq.gz,528_2.fq.gz"
KRA2462478,KAE24063500,Public,KAR24063500,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567240/527_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567240/527_2.fq.gz,완료,"527_1.fq.gz,527_2.fq.gz"
KRA2462478,KAE24063499,Public,KAR24063499,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567239/526_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567239/526_2.fq.gz,완료,"526_1.fq.gz,526_2.fq.gz"
KRA2462478,KAE24063498,Public,KAR24063498,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567238/525_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567238/525_2.fq.gz,완료,"525_1.fq.gz,525_2.fq.gz"
KRA2462478,KAE24063497,Public,KAR24063497,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567237/524_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567237/524_2.fq.gz,완료,"524_1.fq.gz,524_2.fq.gz"
